"","SHA","Code","Name","SHAname"
"1","Q30","RR7","GATESHEAD HEALTH NHS FOUNDATION TRUST","NORTH EAST STRATEGIC HEALTH AUTHORITY"
"2","Q30","RTF","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","NORTH EAST STRATEGIC HEALTH AUTHORITY"
"3","Q30","RTR","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","NORTH EAST STRATEGIC HEALTH AUTHORITY"
"4","Q30","RTD","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","NORTH EAST STRATEGIC HEALTH AUTHORITY"
"5","Q30","RE9","SOUTH TYNESIDE NHS FOUNDATION TRUST","NORTH EAST STRATEGIC HEALTH AUTHORITY"
"6","Q30","RLN","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","NORTH EAST STRATEGIC HEALTH AUTHORITY"
"7","Q30","RVW","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","NORTH EAST STRATEGIC HEALTH AUTHORITY"
"8","Q30","RXP","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","NORTH EAST STRATEGIC HEALTH AUTHORITY"
"9","Q31","RM3","SALFORD ROYAL NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"10","Q31","RW3","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"11","Q31","RRF","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"12","Q31","RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"13","Q31","RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"14","Q31","RW6","PENNINE ACUTE HOSPITALS NHS TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"15","Q31","RBT","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"16","Q31","RVY","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"17","Q31","RWJ","STOCKPORT NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"18","Q31","RM2","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"19","Q31","RNL","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"20","Q31","RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"21","Q31","REP","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"22","Q31","RTX","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"23","Q31","RET","THE WALTON CENTRE NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"24","Q31","RMP","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"25","Q31","RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"26","Q31","RXR","EAST LANCASHIRE HOSPITALS NHS TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"27","Q31","RMC","BOLTON NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"28","Q31","RJN","EAST CHESHIRE NHS TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"29","Q31","REM","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"30","Q31","RBN","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
"31","Q31","RBQ","LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST","NORTH WEST STRATEGIC HEALTH AUTHORITY"
